@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
128,1,0,47.8469,5.45096,0.491675,13.808,26.1581,4981.39,0.287156,3254.51,237.631,677.682,53395.9,1929.04,-7.91124,0.567596
129,1,0,47.9474,5.9088,0.534412,14.7905,26.516,4980.58,0.315157,3151.11,230.702,660.961,53871.2,1967.24,-8.96275,0.575728
130,1,0,48.0067,6.39077,0.579586,15.879,26.8695,4979.74,0.34551,3051.12,223.793,644.12,54332.6,2005.36,-10.1252,0.584761
131,1,0,48.0232,6.89661,0.627179,17.0812,27.2182,4978.89,0.378311,2954.53,216.917,627.192,54780.2,2043.34,-11.4067,0.594792
132,1,0,47.9958,7.42591,0.677165,18.405,27.5619,4978.01,0.413604,2861.3,210.084,610.212,55214,2081.14,-12.8159,0.605925
133,1,0,47.9232,7.97806,0.729506,19.8584,27.9004,4977.12,0.451398,2771.41,203.307,593.212,55634.2,2118.73,-14.3614,0.618271
134,1,0,47.8044,8.55226,0.784146,21.4494,28.2336,4976.21,0.491675,2684.82,196.594,576.223,56040.8,2156.06,-16.0517,0.631947
135,1,0,47.6384,9.14756,0.84101,23.1861,28.5616,4975.29,0.534412,2601.49,189.957,559.276,56434,2193.09,-17.8956,0.647077
136,1,0,47.4245,9.76283,0.900006,25.0763,28.8843,4974.35,0.579586,2521.38,183.403,542.399,56813.9,2229.76,-19.9018,0.663792
137,1,0,47.1619,10.3969,0.961028,27.1278,29.2019,4973.4,0.627179,2444.44,176.942,525.621,57180.7,2266.03,-22.0787,0.68223
138,1,0,46.8504,11.0484,1.02396,29.3481,29.5145,4972.44,0.677165,2370.61,170.581,508.967,57534.6,2301.87,-24.4346,0.702536
